iter	Logloss
250	0.2826346068
251	0.2823781238
252	0.2819649233
253	0.2816684968
254	0.2813170547
255	0.2809953135
256	0.2805434294
257	0.2799769877
258	0.2795010255
259	0.2790436818
260	0.27864588
261	0.2784805065
262	0.2783007141
263	0.2780878843
264	0.2776184549
265	0.2775293053
266	0.2766751631
267	0.2763962585
268	0.2756497678
269	0.2754736851
270	0.2752019666
271	0.274534313
272	0.274088355
273	0.2737122982
274	0.2735238265
275	0.2731742276
276	0.2728300415
277	0.2723536127
278	0.271975736
279	0.2718083093
280	0.2713368267
281	0.2709807183
282	0.2705693143
283	0.2703771562
284	0.2698258333
285	0.2696340952
286	0.2690386291
287	0.268746239
288	0.268309287
289	0.2678435439
290	0.2674968848
291	0.2670185661
292	0.2665222355
293	0.2659100407
294	0.265448264
295	0.2652694282
296	0.2649405477
297	0.2643937977
298	0.2639974425
299	0.263667722
300	0.2631719747
301	0.2627942613
302	0.2623776544
303	0.2622022716
304	0.2618439467
305	0.2615971463
306	0.2613263378
307	0.2610643486
308	0.2607799845
309	0.2605320642
310	0.2602967895
311	0.260156194
312	0.2596590468
313	0.2593930446
314	0.2589233118
315	0.2583364084
316	0.2578546833
317	0.2575092374
318	0.257274616
319	0.2567941975
320	0.2563014133
321	0.2559368355
322	0.2556484584
323	0.2553046924
324	0.2548618375
325	0.2545631479
326	0.2543237435
327	0.2537982019
328	0.2535909484
329	0.2533527806
330	0.2528993799
331	0.2525258662
332	0.2522645303
333	0.252108886
334	0.2517186203
335	0.2515557899
336	0.2509611404
337	0.2506918251
338	0.2501732596
339	0.2499830613
340	0.249776811
341	0.2492684414
342	0.2487710842
343	0.2486611696
344	0.2480237768
345	0.2477553715
346	0.247080485
347	0.2463645818
348	0.2460744082
349	0.2455820906
350	0.2452813245
351	0.2449944639
352	0.2444940503
353	0.2443829458
354	0.2440892024
355	0.24395178
356	0.2437342373
357	0.2433928277
358	0.2431778514
359	0.2429655349
360	0.2426268085
361	0.2422608075
362	0.2420775621
363	0.2415244426
364	0.2412931576
365	0.2411071824
366	0.2407590067
367	0.2400264915
368	0.239596119
369	0.2391541741
370	0.2390132986
371	0.2387809637
372	0.2383192103
373	0.2376931567
374	0.2374357171
375	0.2370450548
376	0.2367413489
377	0.2365055843
378	0.2361976087
379	0.2360697055
380	0.2355816576
381	0.2351307067
382	0.2349704194
383	0.2344584334
384	0.2339777582
385	0.23370247
386	0.2334778112
387	0.2332303108
388	0.232711092
389	0.2325677434
390	0.2323798317
391	0.2321989194
392	0.2321495499
393	0.2318166097
394	0.2316376106
395	0.2314881958
396	0.2313190892
397	0.2309141713
398	0.2304482183
399	0.2301922953
400	0.2299699463
401	0.2297482505
402	0.2296459186
403	0.2293495855
404	0.2291604138
405	0.2287197288
406	0.228427572
407	0.2282184752
408	0.2278176404
409	0.2276941702
410	0.227452736
411	0.227095671
412	0.2266389573
413	0.226390827
414	0.2262529846
415	0.2260068841
416	0.2256025962
417	0.2253826736
418	0.2251873891
419	0.2249725062
420	0.2248856197
421	0.2247356683
422	0.2245564592
423	0.2242816843
424	0.2238791696
425	0.223542473
426	0.223194274
427	0.2230847093
428	0.2230218543
429	0.222921179
430	0.2225407825
431	0.2222690641
432	0.2218949204
433	0.2217248806
434	0.2214141752
435	0.2211649017
436	0.2206763171
437	0.2202976005
438	0.219880317
439	0.2195543295
440	0.2192116367
441	0.218913717
442	0.2187204623
443	0.2185306141
444	0.2179588994
445	0.2177335407
446	0.2175136181
447	0.2174098397
448	0.2167542717
449	0.2165524544
450	0.2163983033
451	0.2162306433
452	0.21593599
453	0.2156163953
454	0.2153499265
455	0.2150910637
456	0.2148910896
457	0.2145712616
458	0.2143159686
459	0.2140873434
460	0.2138159049
461	0.2135667713
462	0.2134929505
463	0.2133507918
464	0.2131109442
465	0.2127015233
466	0.2125645442
467	0.2122556821
468	0.2121313486
469	0.2120054752
470	0.2117272473
471	0.2114212083
472	0.2110175736
473	0.2106945959
474	0.2105297124
475	0.2103755379
476	0.2101368569
477	0.2097020514
478	0.2094243834
479	0.2092212362
480	0.2091089651
481	0.2089222666
482	0.2087680455
483	0.2085115392
484	0.2081287629
485	0.2077855568
486	0.2076310324
487	0.2073514279
488	0.2071671325
489	0.2070931951
490	0.2066423609
491	0.206498429
492	0.2062660241
493	0.2061231654
494	0.205821046
495	0.2056036433
496	0.2052717763
497	0.2051425199
498	0.2047604435
499	0.2045370446
500	0.2042729089
501	0.2038253644
502	0.2035489797
503	0.203275628
504	0.2030482861
505	0.2028830059
506	0.2026487578
507	0.2023985743
508	0.2022107792
509	0.2018024316
510	0.2015578477
511	0.201410836
512	0.2011093233
513	0.2008729054
514	0.2006365108
515	0.2005321491
516	0.2001748741
517	0.2000270225
518	0.1998553028
519	0.1995787548
520	0.1992101407
521	0.199117328
522	0.1989349459
523	0.1986575345
524	0.1985074198
525	0.198328514
526	0.1982097101
527	0.1977650354
528	0.1975032795
529	0.1973351295
530	0.1971594201
531	0.1968420186
532	0.1963954541
533	0.1962736171
534	0.1960272833
535	0.1957712669
536	0.1955803454
537	0.1953578097
538	0.1952065867
539	0.194929852
540	0.1946044245
541	0.1942817851
542	0.1938744525
543	0.1934904746
544	0.1931094132
545	0.192927346
546	0.1927473202
547	0.1925815151
548	0.1924362533
549	0.1920186081
550	0.1919156579
551	0.1917195801
552	0.1914075566
553	0.1911263189
554	0.1909034099
555	0.1905851918
556	0.1903559833
557	0.1901700314
558	0.1899968885
559	0.1898063286
560	0.1896987122
561	0.1893913782
562	0.1891457327
563	0.1886801997
564	0.1884534177
565	0.1883447746
566	0.1881473903
567	0.1880359008
568	0.1878167482
569	0.187550186
570	0.1874288856
571	0.1873634408
572	0.1872677234
573	0.18691137
574	0.1865274039
575	0.1862673162
576	0.1860987112
577	0.1858998103
578	0.1857031609
579	0.1855117845
580	0.1852672355
581	0.1850336524
582	0.1849253243
583	0.1846846018
584	0.1843474269
585	0.1838545026
586	0.1835433073
587	0.1833272695
588	0.1831789629
589	0.1828425463
590	0.1826495833
591	0.182476452
592	0.182161862
593	0.1817862368
594	0.1815200946
595	0.1811189681
596	0.1809003171
597	0.1805917582
598	0.1804247282
599	0.1801391742
600	0.1798852576
601	0.1798436343
602	0.1795314124
603	0.1791673946
604	0.1789383145
605	0.1789045771
606	0.178851638
607	0.1787223233
608	0.1785555498
609	0.1781109568
610	0.1778405449
611	0.1776090383
612	0.177297423
613	0.1771042033
614	0.1768708769
615	0.1763045985
616	0.1761727056
617	0.1759980928
618	0.1757887277
619	0.1756943286
620	0.1753855481
621	0.1751785978
622	0.1749736074
623	0.1749614751
624	0.1745789321
625	0.1743038772
626	0.174029989
627	0.173533775
628	0.1731677041
629	0.1730111382
630	0.1727059041
631	0.1723773851
632	0.1721112313
633	0.1719191198
634	0.1716801471
635	0.171555592
636	0.1713655571
637	0.1710801897
638	0.1709475969
639	0.1708160774
640	0.1705468787
641	0.1703318208
642	0.1700367359
643	0.169804786
644	0.1695841401
645	0.1693852276
646	0.1692697018
647	0.1690554604
648	0.1688111565
649	0.1686063527
650	0.1683538361
651	0.1683166691
652	0.1682487278
653	0.1678537725
654	0.1677933439
655	0.1676105884
656	0.1674680447
657	0.1672116667
658	0.1669466444
659	0.1668063522
660	0.1666364291
661	0.1664341685
662	0.1661991038
663	0.1660724488
664	0.165751536
665	0.1656779368
666	0.1655563448
667	0.1654796309
668	0.1652693676
669	0.1649927495
670	0.1647376198
671	0.1645968726
672	0.1642055453
673	0.1636364205
674	0.1634650391
675	0.1631848863
676	0.1630399745
677	0.1628668316
678	0.1627063576
679	0.1625150278
680	0.1622675508
681	0.1621925051
682	0.1620327078
683	0.1618765618
684	0.1614601999
685	0.1614132336
686	0.1613299985
687	0.1612452469
688	0.1611620235
689	0.1610081641
690	0.1609484238
691	0.1607819537
692	0.1604248887
693	0.160320002
694	0.1601087704
695	0.1600863722
696	0.1597621113
697	0.1595750045
698	0.1593668993
699	0.159224064
700	0.1589505257
701	0.1588178395
702	0.1586284812
703	0.1585071109
704	0.1582523311
705	0.1580816846
706	0.1579142813
707	0.1578222852
708	0.1576134568
709	0.1574546044
710	0.1571168812
711	0.1568581584
712	0.1566416772
713	0.1562014705
714	0.1560501075
715	0.1558742465
716	0.1555006395
717	0.1551051942
718	0.1548503211
719	0.1547887726
720	0.1544125408
721	0.1543205798
722	0.15412883
723	0.1537573112
724	0.1534034776
725	0.1532228102
726	0.1529236656
727	0.1525902238
728	0.1524040385
729	0.1523538292
730	0.1519479197
731	0.1518848081
732	0.1517293621
733	0.1515932112
734	0.151495884
735	0.1511887483
736	0.1509763152
737	0.150714116
738	0.1505679443
739	0.1502115559
740	0.1500829528
741	0.1499634489
742	0.1498089712
743	0.1495596043
744	0.1493857847
745	0.149146742
746	0.1490982709
747	0.1489929293
748	0.1488286523
749	0.1485373121
750	0.1483889822
751	0.1481737026
752	0.1479759566
753	0.1478556012
754	0.1476383501
755	0.147518053
756	0.147164896
757	0.1470438989
758	0.1468265312
759	0.1464400102
760	0.1462357431
761	0.1460893497
762	0.1457808375
763	0.1455102506
764	0.1453951914
765	0.145199487
766	0.1450207678
767	0.1445827542
768	0.1441988697
769	0.1438707591
770	0.1437770249
771	0.1435597038
772	0.1433369814
773	0.1429436593
774	0.1428645189
775	0.142439396
776	0.142251111
777	0.1421273724
778	0.141892891
779	0.141741738
780	0.1416383912
781	0.1414552508
782	0.1410729878
783	0.1409302924
784	0.140809902
785	0.1406769125
786	0.1406183622
787	0.1404823747
788	0.1401090943
789	0.139860194
790	0.1397406085
791	0.139587974
792	0.139457236
793	0.1393679464
794	0.1391282504
795	0.1389606254
796	0.1388464061
797	0.1386517983
798	0.138407506
799	0.1382036238
800	0.138025348
801	0.1379632862
802	0.1376911128
803	0.1375572018
804	0.1373043702
805	0.1369935949
806	0.1367885111
807	0.1366783399
808	0.1364819355
809	0.1363883529
810	0.1362352284
811	0.1358650511
812	0.1356364842
813	0.1354986885
814	0.135416445
815	0.1353350298
816	0.1349850809
817	0.1348608641
818	0.134778714
819	0.1345319019
820	0.1343720929
821	0.1342449363
822	0.1341034309
823	0.133954751
824	0.1336207492
825	0.1332665656
826	0.1329079958
827	0.1328315152
828	0.1324859059
829	0.1321511108
830	0.1319122781
831	0.1317771072
832	0.1316346101
833	0.1315479104
834	0.1313007133
835	0.1310243519
836	0.1307122817
837	0.1305046548
838	0.1303495121
839	0.1302805793
840	0.1299825313
841	0.1297400355
842	0.1296393718
843	0.1293605956
844	0.129150309
845	0.1290352614
846	0.1286773215
847	0.1286030341
848	0.1282350966
849	0.1280336176
850	0.1278980967
851	0.127785079
852	0.1275225765
853	0.1273143197
854	0.1271877114
855	0.1271244247
856	0.1267371688
857	0.126482529
858	0.1262490742
859	0.1258769371
860	0.1255396105
861	0.1254296376
862	0.1253597831
863	0.125269222
864	0.1250729809
865	0.1249484141
866	0.1248805311
867	0.1247641537
868	0.1245766853
869	0.1243192574
870	0.1241857546
871	0.124072247
872	0.1239590543
873	0.1238585889
874	0.1236727653
875	0.1236341167
876	0.1234441401
877	0.123253102
878	0.1230180723
879	0.1229125207
880	0.1228354918
881	0.1226882001
882	0.1224732939
883	0.1224046526
884	0.1221369589
885	0.1218781544
886	0.1218514165
887	0.1216848064
888	0.1215246125
889	0.1214028455
890	0.1212005732
891	0.1209128727
892	0.1206796279
893	0.1205346344
894	0.1202734151
895	0.1201916849
896	0.1200157306
897	0.119926266
898	0.1197623857
899	0.1195220014
900	0.1193808459
901	0.1192946828
902	0.1191932142
903	0.119022801
904	0.1189108799
905	0.1187765722
906	0.1186481091
907	0.1185168112
908	0.1182856195
909	0.1181326
910	0.1178337004
911	0.1177893939
912	0.1175555308
913	0.1173111335
914	0.1172021172
915	0.1170116506
916	0.1168735866
917	0.1167768426
918	0.1166382536
919	0.1163254484
920	0.1162130607
921	0.1161578584
922	0.1160038706
923	0.1158410402
924	0.1156926986
925	0.1153886778
926	0.1152767216
927	0.1152234092
928	0.1149186651
929	0.1148667525
930	0.114764549
931	0.1146508663
932	0.114599992
933	0.1143419342
934	0.1141353456
935	0.1139276837
936	0.1138140361
937	0.1136525472
938	0.1135630476
939	0.1134450603
940	0.1134085932
941	0.1132035795
942	0.113042184
943	0.112828001
944	0.1126315149
945	0.1124911294
946	0.112416177
947	0.112219061
948	0.1120694128
949	0.1119170816
950	0.1117081132
951	0.1116246215
952	0.1113880869
953	0.1111558453
954	0.1110045873
955	0.1108909514
956	0.110833101
957	0.1106959935
958	0.1106027609
959	0.1105123047
960	0.1104022851
961	0.1102748719
962	0.1101222607
963	0.109908661
964	0.1098104004
965	0.1097015474
966	0.1094901642
967	0.1093501986
968	0.1092828406
969	0.1091979724
970	0.1091261464
971	0.1089812696
972	0.1088129679
973	0.1085912139
974	0.108463404
975	0.1082946824
976	0.1082184701
977	0.1081864477
978	0.1080724267
979	0.1079271416
980	0.1076151063
981	0.1074127991
982	0.107215438
983	0.107022965
984	0.1068949685
985	0.1067661204
986	0.1066251632
987	0.1065703692
988	0.1065033029
989	0.1064021493
990	0.106292468
991	0.1061114623
992	0.105993685
993	0.1058477233
994	0.1057148038
995	0.1055480187
996	0.1053709211
997	0.1052170266
998	0.1051065287
999	0.1050465202
